loyalty_member_id,enrolment_date,first_name,last_name,email,date_of_birth,gender,primary_store_id,consent_marketing
3001,02/04/2021,Daniel,Patel,daniel.patel@outlook.com,20/12/1981,F,3,TRUE
3002,02/03/2020,Grace,Rossi,grace.rossi@example.com,07/11/1962,M,1,TRUE
3003,11/02/2021,Ethan,Young,ethan.young@gmail.com,08/05/2010,Prefer not to say,1,FALSE
3004,30/11/2023,Leo,Taylor,leo.taylor@gmail.com,28/04/1974,Prefer not to say,2,FALSE
3005,08/07/2020,Maria,Khan,maria.khan@outlook.com,03/03/1969,Prefer not to say,1,FALSE
3006,03/02/2024,Lucas,Young,lucas.young@outlook.com,24/11/1963,Prefer not to say,3,TRUE
3007,20/06/2023,Isabella,Rossi,isabella.rossi@outlook.com,25/05/2016,Other,3,TRUE
3008,12/06/2020,Elena,Wilson,elena.wilson@yahoo.com,17/12/1985,F,1,FALSE
3009,28/01/2022,Sofia,Evans,sofia.evans@outlook.com,04/08/1974,Other,1,FALSE
3010,02/02/2024,Elena,Young,elena.young@yahoo.com,02/12/2007,F,1,FALSE
3011,22/09/2024,Isabella,Taylor,isabella.taylor@yahoo.com,03/02/1989,M,1,TRUE
3012,08/03/2021,Emma,Baker,emma.baker@outlook.com,08/12/1965,Other,1,FALSE
3013,12/10/2020,Isabella,Evans,isabella.evans@yahoo.com,06/10/1983,F,3,FALSE
3014,25/03/2021,Leo,Turner,leo.turner@example.com,22/06/1992,F,3,FALSE
3015,09/07/2023,Elena,Wilson,elena.wilson@gmail.com,17/09/1973,F,3,FALSE
3016,05/05/2023,Chloe,Rossi,chloe.rossi@example.com,27/03/1994,Prefer not to say,3,FALSE
3017,17/03/2024,Grace,Patel,grace.patel@gmail.com,04/03/2008,Other,3,FALSE
3018,18/07/2022,Daniel,Clark,daniel.clark@example.com,10/03/1974,M,3,FALSE
3019,03/09/2021,Ethan,Green,ethan.green@gmail.com,05/02/2016,F,1,FALSE
3020,25/10/2021,Tom,Hill,tom.hill@gmail.com,25/09/2013,Prefer not to say,1,TRUE
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,FALSE
3022,13/09/2023,Elena,Hill,elena.hill@yahoo.com,09/07/1971,Prefer not to say,3,TRUE
3023,09/01/2023,Sofia,Wright,sofia.wright@example.com,01/01/1979,F,3,FALSE
3024,13/07/2022,Isabella,Adams,isabella.adams@example.com,07/06/2006,M,1,TRUE
3025,08/02/2023,Elena,Hall,elena.hall@gmail.com,11/10/2012,F,3,TRUE
3026,18/05/2020,Sarah,Rossi,sarah.rossi@gmail.com,15/07/1980,M,2,TRUE
3027,14/03/2021,Ethan,Brown,ethan.brown@outlook.com,20/07/2003,F,3,FALSE
3028,12/07/2020,Liam,King,liam.king@example.com,30/01/1977,M,3,FALSE
3029,04/11/2024,Lucas,Turner,lucas.turner@example.com,24/11/2001,M,3,TRUE
3030,24/05/2021,James,Baker,james.baker@outlook.com,20/10/1969,F,1,FALSE
3031,05/08/2022,Maria,Turner,maria.turner@yahoo.com,27/12/1984,F,1,FALSE
3032,12/01/2023,Grace,Smith,grace.smith@gmail.com,04/07/2018,M,1,TRUE
3033,13/03/2021,Tom,Turner,tom.turner@example.com,09/03/2003,Prefer not to say,1,TRUE
3034,24/05/2024,Isabella,Patel,isabella.patel@example.com,17/10/1983,Prefer not to say,2,FALSE
3035,30/08/2021,Grace,King,grace.king@yahoo.com,13/01/1977,F,1,TRUE
3036,03/09/2022,Emma,Wilson,emma.wilson@gmail.com,29/05/2012,F,1,TRUE
3037,06/04/2022,Tom,Rossi,tom.rossi@gmail.com,06/02/1981,M,3,TRUE
3038,16/06/2020,Leo,Young,leo.young@gmail.com,26/07/2015,Prefer not to say,3,FALSE
3039,27/06/2021,Sofia,Khan,sofia.khan@outlook.com,31/05/1981,Prefer not to say,1,FALSE
3040,27/07/2022,Noah,Hall,noah.hall@gmail.com,01/11/1960,M,1,TRUE
3041,09/12/2024,Ethan,Taylor,ethan.taylor@yahoo.com,24/04/1991,M,1,FALSE
3042,11/12/2023,Oliver,Green,oliver.green@example.com,25/09/2008,Other,3,TRUE
3043,25/06/2021,Grace,Clark,grace.clark@gmail.com,18/01/1972,M,1,TRUE
3044,20/02/2021,Sofia,Clark,sofia.clark@yahoo.com,05/10/1990,Other,3,FALSE
3045,17/05/2022,Sofia,Wilson,sofia.wilson@gmail.com,26/11/2016,Other,1,TRUE
3046,27/02/2024,Emma,Lopez,emma.lopez@outlook.com,30/06/1974,Prefer not to say,3,FALSE
3047,22/01/2023,Grace,Patel,grace.patel1233@gmail.com,16/05/1973,M,2,TRUE
3048,16/01/2022,Mia,Lopez,mia.lopez@gmail.com,28/08/1987,M,2,TRUE
3049,15/12/2024,Liam,Smith,liam.smith@outlook.com,25/03/2010,Prefer not to say,3,TRUE
3050,20/02/2020,Liam,Green,liam.green@yahoo.com,27/12/1996,F,3,FALSE
3051,31/05/2024,Mia,Brown,mia.brown@outlook.com,13/04/1974,M,2,TRUE
3052,17/12/2021,Ava,Brown,ava.brown@yahoo.com,18/04/2001,Other,1,TRUE
3053,24/07/2021,Sarah,Khan,sarah.khan@example.com,13/06/1989,M,2,FALSE
3054,24/08/2020,Ethan,Baker,ethan.baker@outlook.com,23/06/1962,Other,1,FALSE
3055,01/02/2024,James,Smith,james.smith@example.com,05/01/1991,Other,2,TRUE
3056,31/03/2020,Isabella,Scott,isabella.scott@yahoo.com,07/11/1982,Prefer not to say,1,TRUE
3057,07/11/2021,Lucas,Turner,lucas.turner@gmail.com,04/08/2019,Other,3,TRUE
3058,16/04/2022,Oliver,Wright,oliver.wright@outlook.com,30/10/2019,Other,2,FALSE
3059,23/09/2023,Grace,Lopez,grace.lopez@yahoo.com,20/09/1997,Prefer not to say,3,TRUE
3060,27/01/2023,Chloe,Scott,chloe.scott@outlook.com,06/06/1996,M,2,FALSE
3061,23/06/2022,Aisha,Turner,aisha.turner@outlook.com,18/09/2001,Prefer not to say,3,TRUE
3062,22/06/2020,Ethan,King,ethan.king@yahoo.com,09/02/2019,Other,3,FALSE
3063,09/07/2024,Elena,Brown,elena.brown@outlook.com,26/02/1980,F,1,TRUE
3064,06/10/2024,James,Brown,james.brown@example.com,03/11/2014,M,2,FALSE
3065,29/03/2022,Leo,Khan,leo.khan@example.com,08/05/2004,F,1,TRUE
3066,04/07/2024,Daniel,Turner,daniel.turner@yahoo.com,12/10/1975,Prefer not to say,1,TRUE
