loyalty_member_id,enrolment_date,first_name,last_name,email,date_of_birth,gender,primary_store_id,consent_marketing,points_txn_id,source_system,source_reference,activity_type,points,activity_datetime
3001,02/04/2021,Daniel,Patel,daniel.patel@outlook.com,20/12/1981,F,3,True,70069,ONLINE,82647,Redeem,-26,25/04/2024 23:35
3001,02/04/2021,Daniel,Patel,daniel.patel@outlook.com,20/12/1981,F,3,True,70188,ONLINE,94176,Redeem,-48,16/04/2024 20:22
3001,02/04/2021,Daniel,Patel,daniel.patel@outlook.com,20/12/1981,F,3,True,70328,ONLINE,83068,Adjust,2,13/02/2024 19:02
3001,02/04/2021,Daniel,Patel,daniel.patel@outlook.com,20/12/1981,F,3,True,71390,ONLINE,82034,Earn,21,24/02/2024 15:27
3001,02/04/2021,Daniel,Patel,daniel.patel@outlook.com,20/12/1981,F,3,True,71996,POS,84674,Earn,47,28/02/2024 13:15
3002,02/03/2020,Grace,Rossi,grace.rossi@example.com,07/11/1962,M,1,True,70933,ONLINE,86698,Redeem,-93,07/02/2024 09:29
3002,02/03/2020,Grace,Rossi,grace.rossi@example.com,07/11/1962,M,1,True,71011,ONLINE,94453,Adjust,3,04/02/2024 07:52
3002,02/03/2020,Grace,Rossi,grace.rossi@example.com,07/11/1962,M,1,True,71727,ONLINE,80491,Redeem,-11,14/01/2024 10:08
3003,11/02/2021,Ethan,Young,ethan.young@gmail.com,08/05/2010,Prefer not to say,1,False,70138,POS,91797,Adjust,-8,16/01/2024 14:02
3003,11/02/2021,Ethan,Young,ethan.young@gmail.com,08/05/2010,Prefer not to say,1,False,70597,ONLINE,91371,Adjust,1,22/01/2024 22:52
3003,11/02/2021,Ethan,Young,ethan.young@gmail.com,08/05/2010,Prefer not to say,1,False,70691,POS,85742,Redeem,-36,15/02/2024 10:15
3003,11/02/2021,Ethan,Young,ethan.young@gmail.com,08/05/2010,Prefer not to say,1,False,70980,POS,94635,Earn,31,31/03/2024 22:46
3003,11/02/2021,Ethan,Young,ethan.young@gmail.com,08/05/2010,Prefer not to say,1,False,71009,ONLINE,80149,Adjust,11,27/03/2024 20:20
3003,11/02/2021,Ethan,Young,ethan.young@gmail.com,08/05/2010,Prefer not to say,1,False,71020,POS,88086,Earn,10,28/01/2024 10:20
3003,11/02/2021,Ethan,Young,ethan.young@gmail.com,08/05/2010,Prefer not to say,1,False,71262,POS,88605,Earn,5,15/03/2024 20:46
3003,11/02/2021,Ethan,Young,ethan.young@gmail.com,08/05/2010,Prefer not to say,1,False,71416,POS,89627,Earn,12,19/04/2024 13:16
3003,11/02/2021,Ethan,Young,ethan.young@gmail.com,08/05/2010,Prefer not to say,1,False,71718,POS,80939,Adjust,17,29/04/2024 17:26
3003,11/02/2021,Ethan,Young,ethan.young@gmail.com,08/05/2010,Prefer not to say,1,False,71916,POS,88015,Earn,12,16/01/2024 01:02
