online_customer_id,first_name,last_name,email,phone,city,loyalty_member_id
10001,Danielle,Johnson,danielle.johnson@example.com,332-181-9600x133,New Jamesside,3002
10002,Robert,Cole,robert.cole@example.com,026-542-3511x615,Cassandraton,3001
10003,Jessica,Herrera,jessica.herrera@example.com,(184)959-3103x4131,Ramirezstad,3005
10004,Francisco,Kelly,francisco.kelly@example.com,+1-419-283-2764x83503,Port Leslieview,3004
10005,Carl,Gentry,carl.gentry@example.com,001-537-672-4238,Juliechester,3004
10006,Rachael,Ross,rachael.ross@example.com,287.101.2269,South Patrickmouth,3003
10007,Allison,Maddox,allison.maddox@example.com,1845146270,Teresaburgh,3002
10008,William,Rodriguez,william.rodriguez@example.com,+1-489-325-2880x9570,West Natashaport,3002
10009,John,Allen,john.allen@example.com,001-117-182-2782,Allisonchester,
10010,Tamara,Hickman,tamara.hickman@example.com,001-346-578-7133x15098,New Jeffrey,3001
10011,Chad,Welch,chad.welch@example.com,105.183.4738,Lake Selena,3001
10012,Ashley,Kennedy,ashley.kennedy@example.com,631.165.6670x1065,East Jamesside,3002
10013,Shane,Henderson,shane.henderson@example.com,731-781-0801x326,Olsonfurt,3004
10014,Rachel,Martin,rachel.martin@example.com,6474687234,North Beth,3004
10015,Amy,Adkins,amy.adkins@example.com,0978820812,New Carlosbury,3001
10016,Richard,David,richard.david@example.com,001-399-091-6998,Sarahborough,3004
10017,Elizabeth,Edwards,elizabeth.edwards@example.com,624-751-0799x118,New Joseph,
10018,Sarah,Ibarra,sarah.ibarra@example.com,542.784.9808,Sarahville,3004
10019,Sheila,Taylor,sheila.taylor@example.com,182-449-3534,Kington,
10020,Christopher,Henderson,christopher.henderson@example.com,005-242-7868x011,New Barry,3005
10021,Mike,Tran,mike.tran@example.com,(204)505-3315x86923,Port Lisa,3001
10022,Nicole,Johnson,nicole.johnson@example.com,001-563-421-6073x3754,East Andrew,3003
10023,James,Murphy,james.murphy@example.com,458-685-0142,Benjaminchester,
10024,Michael,Hartman,michael.hartman@example.com,(981)693-4060x88356,Lake Samanthamouth,
10025,Elizabeth,Martinez,elizabeth.martinez@example.com,846-564-8236x6299,Richardtown,3005
10026,Kevin,Clark,kevin.clark@example.com,001-957-773-8721,Zacharymouth,3003
10027,Clarence,Crane,clarence.crane@example.com,433.200.3791,Perryshire,3004
10028,James,Horton,james.horton@example.com,632.016.3287x0831,Andersonmouth,
10029,Elizabeth,Travis,elizabeth.travis@example.com,+1-579-868-7277x434,Simsview,3002
10030,Scott,Reeves,scott.reeves@example.com,455.812.2362,North Robert,3002
10031,Mark,Owens,mark.owens@example.com,3669096705,Karenchester,
10032,Amanda,Navarro,amanda.navarro@example.com,+1-373-467-0656x272,South Brittanytown,3002
10033,Christopher,Patterson,christopher.patterson@example.com,204.653.7556x464,South Andrewside,
10034,Brett,Crane,brett.crane@example.com,100.330.9232,Caldwellshire,
10035,Stacie,Marshall,stacie.marshall@example.com,529-912-4190x496,Davidborough,3005
10036,Charles,Vaughn,charles.vaughn@example.com,+1-314-919-0586x5185,Port Robertfort,3001
10037,Daniel,Yu,daniel.yu@example.com,+1-726-284-9877x6945,Port Sarah,
10038,Joshua,Hayes,joshua.hayes@example.com,001-799-650-7527x35454,Angelahaven,3002
10039,Stacy,Miller,stacy.miller@example.com,001-678-377-7014x3634,Thomashaven,
10040,Maurice,Barajas,maurice.barajas@example.com,-4135,Lake Amandaburgh,3002
10041,James,Rodgers,james.rodgers@example.com,989-413-4352x408,West Brandon,3005
10042,Brian,Carter,brian.carter@example.com,(710)947-7752,West Shelleyfort,
10043,Danny,Jones,danny.jones@example.com,190.229.4131x8699,Port Alexandra,3004
10044,Shannon,Ramos,shannon.ramos@example.com,001-649-909-1334,East Johnside,3002
10045,Charles,Smith,charles.smith@example.com,974.034.4713x493,Wilsonbury,3001
10046,Deborah,Kerr,deborah.kerr@example.com,(102)499-4717,Hollyview,3004
10047,Vincent,Snyder,vincent.snyder@example.com,906-594-0139,Port Emilyview,3005
10048,Barbara,Hines,barbara.hines@example.com,(787)429-6717,Rickymouth,3002
10049,Elizabeth,Hodge,elizabeth.hodge@example.com,674-680-7154x51680,Gutierrezborough,3004
10050,April,Dean,april.dean@example.com,703.482.4771x0932,Andreaside,3002
10051,Ricky,Walker,ricky.walker@example.com,712-748-4677,South Andrea,
10052,Patrick,Weeks,patrick.weeks@example.com,214.658.4044x99727,Reedside,3005
10053,Kathryn,Bennett,kathryn.bennett@example.com,339-636-0576x62702,Mollymouth,
10054,Cory,Lozano,cory.lozano@example.com,2621745961,Melissaside,
10055,Norman,Stewart,norman.stewart@example.com,001-780-913-4316x117,Lake Kevin,3003
10056,Anthony,Nguyen,anthony.nguyen@example.com,4556238692,East Christian,
10057,Monica,Harvey,monica.harvey@example.com,792.374.7407,Ericaburgh,
10058,Charles,Landry,charles.landry@example.com,001-464-743-6713,Armstrongshire,3004
10059,Kenneth,Lyons,kenneth.lyons@example.com,6409097439,Jefferyborough,3005
10060,Christine,Byrd,christine.byrd@example.com,001-210-470-9521x4562,East Kristin,3002
10061,Nancy,Diaz,nancy.diaz@example.com,424.745.1712x36851,Smithside,3003
10062,David,Richardson,david.richardson@example.com,001-496-513-7098x5931,Blankenshipport,3004
10063,Debra,Wilson,debra.wilson@example.com,0471138267,Ellenside,3003
10064,Robert,Newton,robert.newton@example.com,(617)964-0537,Sampsonstad,
10065,Cory,Jennings,cory.jennings@example.com,-8075,North Kristinbury,
10066,Vanessa,Buchanan,vanessa.buchanan@example.com,183.933.5290,Micheleberg,3005
10067,Vanessa,Fernandez,vanessa.fernandez@example.com,(102)053-9502,Brianchester,3004
10068,Alicia,Reese,alicia.reese@example.com,758.917.8390x8470,South Melaniechester,
10069,Gina,Henry,gina.henry@example.com,115.921.2499x856,Shawnchester,3001
10070,Cory,Miles,cory.miles@example.com,+1-836-736-5766x1565,Nicholasberg,3004
10071,Gloria,Wells,gloria.wells@example.com,116-152-8098,Elizabethchester,3001
10072,Michael,Ortega,michael.ortega@example.com,001-604-945-1983x27315,Dannyview,
10073,Audrey,Aguirre,audrey.aguirre@example.com,-1335,Michaelburgh,
10074,Molly,Knight,molly.knight@example.com,(120)183-6675x2545,North Ericton,3005
10075,Emily,Nelson,emily.nelson@example.com,+1-679-764-3815x61497,Brandonfurt,3002
10076,Tracey,Brown,tracey.brown@example.com,432.445.1076,East Omar,3004
10077,Jane,Mason,jane.mason@example.com,+1-516-060-7159x69664,South Andrewmouth,
10078,George,Meza,george.meza@example.com,516.136.9681x645,West Kimberly,3004
10079,Charles,Schultz,charles.schultz@example.com,835.523.1243x29212,Marshallshire,
10080,Kathleen,Cole,kathleen.cole@example.com,001-955-271-7744,West Williamport,
10081,Steven,Johnson,steven.johnson@example.com,(411)998-6798x079,West Cassidy,
10082,Walter,Rosario,walter.rosario@example.com,151.820.3778x892,Nathanport,3003
10083,Paul,Schroeder,paul.schroeder@example.com,+1-905-151-8644x92519,West Kyle,3005
10084,Diana,Bates,diana.bates@example.com,(914)865-2816,Andrewport,3003
10085,Henry,Lewis,henry.lewis@example.com,001-733-221-4188x80592,Mooreburgh,3004
10086,Marie,Wise,marie.wise@example.com,(706)537-9473,West Tammy,3005
10087,Kristen,Mckee,kristen.mckee@example.com,597.746.8862,Port Cassandra,
10088,Monique,Williams,monique.williams@example.com,581.814.1247x8261,Port Shannon,
10089,Michael,Johnson,michael.johnson@example.com,6853615305,Port Jennifermouth,
10090,Lacey,Taylor,lacey.taylor@example.com,727-790-1043x2898,Rodriguezport,3004
10091,John,Martinez,john.martinez@example.com,697.117.9808,Lake Douglas,3003
10092,Ruben,Mendez,ruben.mendez@example.com,962.185.1888,South Morganton,
10093,Cynthia,Zavala,cynthia.zavala@example.com,051-531-9520x585,Port Kimberly,3002
10094,Steven,Dominguez,steven.dominguez@example.com,+1-221-704-3030x5486,Kingborough,3001
10095,Justin,Atkins,justin.atkins@example.com,5415667652,Holtstad,3002
10096,Sandra,Stone,sandra.stone@example.com,616-928-4511,Donnaport,3003
10097,Sean,Robbins,sean.robbins@example.com,(757)059-6401,Coxburgh,3003
10098,Stephanie,Thomas,stephanie.thomas@example.com,+1-702-135-5690x927,Nathanland,
10099,Audrey,Moreno,audrey.moreno@example.com,(543)102-7868x1447,New Justin,3002
10100,Sabrina,Henry,sabrina.henry@example.com,217-271-5518,Patriciaburgh,
10101,Jennifer,Ho,jennifer.ho@example.com,+1-258-313-2370x5895,Laraside,
10102,David,Henson,david.henson@example.com,467-866-9125,South Stevenhaven,
10103,Melvin,Humphrey,melvin.humphrey@example.com,001-892-268-0182x42253,Staceyhaven,3005
10104,Patty,Singleton,patty.singleton@example.com,384-249-8182x992,Lake Claudia,3001
10105,Rachel,Morgan,rachel.morgan@example.com,001-001-094-3969,South Pamelaside,3002
10106,Keith,Frye,keith.frye@example.com,364.710.2767x7359,West Michelle,3005
10107,Luis,Travis,luis.travis@example.com,(625)881-5371x473,North Brent,
10108,Sonia,Lin,sonia.lin@example.com,(325)953-2787x74701,Wagnerbury,3002
10109,Jason,Gomez,jason.gomez@example.com,4797480162,Jessicafurt,3005
10110,Michael,Morales,michael.morales@example.com,001-835-841-6878,Marciaville,
10111,David,Davis,david.davis@example.com,(585)239-8680x002,Lindahaven,3003
10112,Stephen,Obrien,stephen.obrien@example.com,259.526.9495x88879,Thomastown,
10113,Micheal,Nunez,micheal.nunez@example.com,(940)974-9930x97289,Hernandezbury,3001
10114,Anthony,Vaughan,anthony.vaughan@example.com,307-562-6368,Salaston,3005
10115,Janice,Stone,janice.stone@example.com,-9087,Ericaview,3003
10116,Chelsea,Lee,chelsea.lee@example.com,484.344.3757,Annview,3002
10117,Keith,Berry,keith.berry@example.com,-5061,Julieborough,3005
10118,James,Ryan,james.ryan@example.com,-4496,North Craig,3004
10119,Mark,Kennedy,mark.kennedy@example.com,+1-208-267-7345x40193,East Robertburgh,3003
10120,Sarah,Johnson,sarah.johnson@example.com,(724)004-9915x4788,Smallberg,
10121,Melissa,Mcdonald,melissa.mcdonald@example.com,152.742.0549,East Cheryl,3003
10122,Danielle,Sullivan,danielle.sullivan@example.com,(851)612-2753x04637,Stephanieport,3001
10123,Brandi,Berry,brandi.berry@example.com,530-174-2684x145,East Susan,
10124,Timothy,Gibson,timothy.gibson@example.com,+1-568-783-3918x785,New Danielside,
10125,Rebecca,Harris,rebecca.harris@example.com,-5066,Stokesmouth,3001
10126,David,Perry,david.perry@example.com,001-087-406-4039,North Rodneyland,3002
10127,Amber,Brown,amber.brown@example.com,704-622-6567,Bennettside,
10128,Dean,Dalton,dean.dalton@example.com,286-823-0047,Patelbury,3005
10129,John,Reed,john.reed@example.com,310-690-3311x907,East Joyfurt,3004
10130,Scott,Fernandez,scott.fernandez@example.com,001-028-439-5995x34283,Turnerton,3001
10131,Angela,Vargas,angela.vargas@example.com,001-268-705-6856x6246,Port Amanda,3004
10132,John,Perez,john.perez@example.com,001-270-866-8826x343,Deborahmouth,3002
10133,Melanie,Davis,melanie.davis@example.com,001-304-699-0139x8373,Kevintown,3002
10134,Jason,Lee,jason.lee@example.com,001-173-936-3854x6785,Josehaven,
10135,Nicole,Owens,nicole.owens@example.com,001-753-556-0932x0489,Phillipsborough,3002
