online_customer_id,first_name,last_name,email,phone,city,loyalty_member_id,online_order_id,order_datetime,order_status,sales_channel,fulfilment_type,store_id,delivery_fee,discount_amount,payment_type,product_id,time_range
10001,Danielle,Johnson,danielle.johnson@example.com,332-181-9600x133,New Jamesside,3002.0,80129,2024-03-06 22:31:00,Completed,Web,Pickup,2.0,0.0,1.84,PayPal,465,18:00-24:00
10001,Danielle,Johnson,danielle.johnson@example.com,332-181-9600x133,New Jamesside,3002.0,80742,2024-03-22 22:40:00,Completed,Mobile App,Delivery,,3.52,0.76,PayPal,938,18:00-24:00
10001,Danielle,Johnson,danielle.johnson@example.com,332-181-9600x133,New Jamesside,3002.0,81424,2024-03-12 10:31:00,Completed,Web,Delivery,,3.77,1.23,Card,265,06:00-12:00
10001,Danielle,Johnson,danielle.johnson@example.com,332-181-9600x133,New Jamesside,3002.0,81716,2024-03-08 17:36:00,Cancelled,Mobile App,Delivery,,1.32,1.19,Mobile Wallet,681,12:00-18:00
10002,Robert,Cole,robert.cole@example.com,026-542-3511x615,Cassandraton,3001.0,80070,2024-03-21 20:44:00,Completed,Web,Delivery,,3.39,0.8,PayPal,164,18:00-24:00
10002,Robert,Cole,robert.cole@example.com,026-542-3511x615,Cassandraton,3001.0,80414,2024-03-21 20:57:00,Cancelled,Mobile App,Pickup,1.0,0.0,1.09,Card,792,18:00-24:00
10002,Robert,Cole,robert.cole@example.com,026-542-3511x615,Cassandraton,3001.0,81565,2024-03-29 05:55:00,Cancelled,Web,Pickup,3.0,0.0,1.57,PayPal,405,00:00-06:00
10003,Jessica,Herrera,jessica.herrera@example.com,(184)959-3103x4131,Ramirezstad,3005.0,80438,2024-03-28 01:07:00,Placed,Mobile App,Pickup,1.0,0.0,0.93,Card,633,00:00-06:00
10003,Jessica,Herrera,jessica.herrera@example.com,(184)959-3103x4131,Ramirezstad,3005.0,80587,2024-03-10 17:45:00,Cancelled,Mobile App,Delivery,,3.09,0.37,Mobile Wallet,203,12:00-18:00
10003,Jessica,Herrera,jessica.herrera@example.com,(184)959-3103x4131,Ramirezstad,3005.0,80848,2024-03-23 18:53:00,Completed,Mobile App,Delivery,,2.21,0.83,PayPal,987,18:00-24:00
10003,Jessica,Herrera,jessica.herrera@example.com,(184)959-3103x4131,Ramirezstad,3005.0,80929,2024-03-19 07:09:00,Completed,Web,Pickup,2.0,0.0,0.2,PayPal,159,06:00-12:00
10003,Jessica,Herrera,jessica.herrera@example.com,(184)959-3103x4131,Ramirezstad,3005.0,81050,2024-03-24 17:53:00,Completed,Web,Delivery,,1.58,0.06,Card,574,12:00-18:00
10003,Jessica,Herrera,jessica.herrera@example.com,(184)959-3103x4131,Ramirezstad,3005.0,81066,2024-03-06 23:09:00,Cancelled,Web,Pickup,3.0,0.0,1.79,Mobile Wallet,274,18:00-24:00
10003,Jessica,Herrera,jessica.herrera@example.com,(184)959-3103x4131,Ramirezstad,3005.0,81314,2024-03-01 20:26:00,Cancelled,Web,Pickup,2.0,0.0,0.55,PayPal,152,18:00-24:00
10004,Francisco,Kelly,francisco.kelly@example.com,+1-419-283-2764x83503,Port Leslieview,3004.0,80840,2024-03-23 09:00:00,Placed,Web,Delivery,,1.16,1.98,Card,270,06:00-12:00
10004,Francisco,Kelly,francisco.kelly@example.com,+1-419-283-2764x83503,Port Leslieview,3004.0,81541,2024-03-09 00:04:00,Preparing,Mobile App,Delivery,,1.43,1.08,Card,868,00:00-06:00
10004,Francisco,Kelly,francisco.kelly@example.com,+1-419-283-2764x83503,Port Leslieview,3004.0,81874,2024-03-18 17:12:00,Placed,Web,Pickup,,0.0,0.23,PayPal,624,12:00-18:00
10005,Carl,Gentry,carl.gentry@example.com,001-537-672-4238,Juliechester,3004.0,80750,2024-03-22 01:23:00,Completed,Web,Delivery,,2.33,0.44,Card,257,00:00-06:00
10005,Carl,Gentry,carl.gentry@example.com,001-537-672-4238,Juliechester,3004.0,80863,2024-03-13 02:37:00,Placed,Web,Delivery,,1.29,1.04,Card,505,00:00-06:00
10005,Carl,Gentry,carl.gentry@example.com,001-537-672-4238,Juliechester,3004.0,80916,2024-03-30 22:14:00,Preparing,Web,Delivery,,2.14,1.47,Card,960,18:00-24:00
10005,Carl,Gentry,carl.gentry@example.com,001-537-672-4238,Juliechester,3004.0,80999,2024-03-19 02:52:00,Preparing,Mobile App,Pickup,3.0,0.0,1.5,Mobile Wallet,232,00:00-06:00
10005,Carl,Gentry,carl.gentry@example.com,001-537-672-4238,Juliechester,3004.0,81241,2024-03-20 19:39:00,Completed,Mobile App,Pickup,1.0,0.0,1.04,Mobile Wallet,174,18:00-24:00
