store_id,trans_datetime,staff_id,payment_type,order_channel,loyalty_member_id,pos_receipt_id,time_range,month,enrolment_date,first_name,last_name,email,date_of_birth,gender,primary_store_id,consent_marketing
3,2024-01-05 18:23:00,5002,Voucher,Click-and-Collect,3002.0,90655,18:00-24:00,Jan,02/03/2020,Grace,Rossi,grace.rossi@example.com,07/11/1962,M,1,True
1,2024-03-17 07:44:00,5007,Mobile Wallet,Click-and-Collect,3001.0,90143,06:00-12:00,Mar,02/04/2021,Daniel,Patel,daniel.patel@outlook.com,20/12/1981,F,3,True
2,2024-01-15 12:47:00,5006,Mobile Wallet,In-Store,3003.0,90433,12:00-18:00,Jan,11/02/2021,Ethan,Young,ethan.young@gmail.com,08/05/2010,Prefer not to say,1,False
4,2024-01-01 03:38:00,5002,Voucher,In-Store,3001.0,90617,00:00-06:00,Jan,02/04/2021,Daniel,Patel,daniel.patel@outlook.com,20/12/1981,F,3,True
4,2024-01-29 17:07:00,5002,Card,In-Store,3003.0,90460,12:00-18:00,Jan,11/02/2021,Ethan,Young,ethan.young@gmail.com,08/05/2010,Prefer not to say,1,False
1,2024-01-12 11:47:00,5005,Voucher,Click-and-Collect,3005.0,90715,06:00-12:00,Jan,08/07/2020,Maria,Khan,maria.khan@outlook.com,03/03/1969,Prefer not to say,1,False
1,2024-02-12 17:11:00,5005,Mobile Wallet,Click-and-Collect,3004.0,90105,12:00-18:00,Feb,30/11/2023,Leo,Taylor,leo.taylor@gmail.com,28/04/1974,Prefer not to say,2,False
1,2024-02-16 10:15:00,5003,Card,Click-and-Collect,3005.0,90197,06:00-12:00,Feb,08/07/2020,Maria,Khan,maria.khan@outlook.com,03/03/1969,Prefer not to say,1,False
5,2024-02-05 06:50:00,5006,Card,In-Store,3002.0,90465,06:00-12:00,Feb,02/03/2020,Grace,Rossi,grace.rossi@example.com,07/11/1962,M,1,True
5,2024-02-18 10:09:00,5001,Mobile Wallet,Click-and-Collect,3004.0,90747,06:00-12:00,Feb,30/11/2023,Leo,Taylor,leo.taylor@gmail.com,28/04/1974,Prefer not to say,2,False
5,2024-01-07 16:31:00,5007,Card,Click-and-Collect,3005.0,90409,12:00-18:00,Jan,08/07/2020,Maria,Khan,maria.khan@outlook.com,03/03/1969,Prefer not to say,1,False
2,2024-03-01 20:55:00,5002,Card,Click-and-Collect,3005.0,90611,18:00-24:00,Mar,08/07/2020,Maria,Khan,maria.khan@outlook.com,03/03/1969,Prefer not to say,1,False
1,2024-02-17 01:37:00,5003,Voucher,Click-and-Collect,3001.0,90301,00:00-06:00,Feb,02/04/2021,Daniel,Patel,daniel.patel@outlook.com,20/12/1981,F,3,True
4,2024-03-20 06:53:00,5005,Voucher,In-Store,3003.0,90624,06:00-12:00,Mar,11/02/2021,Ethan,Young,ethan.young@gmail.com,08/05/2010,Prefer not to say,1,False
3,2024-02-17 11:25:00,5009,Cash,Click-and-Collect,3002.0,90977,06:00-12:00,Feb,02/03/2020,Grace,Rossi,grace.rossi@example.com,07/11/1962,M,1,True
