email,order_channel,points,vists
grace.rossi@example.com,Click-and-Collect,6,110
daniel.patel@outlook.com,Click-and-Collect,-14,140
ethan.young@gmail.com,In-Store,6,127
daniel.patel@outlook.com,In-Store,-19,140
ethan.young@gmail.com,In-Store,14,127
maria.khan@outlook.com,Click-and-Collect,-10,125
leo.taylor@gmail.com,Click-and-Collect,18,131
maria.khan@outlook.com,Click-and-Collect,27,125
grace.rossi@example.com,In-Store,9,110
leo.taylor@gmail.com,Click-and-Collect,-2,131
maria.khan@outlook.com,Click-and-Collect,-16,125
maria.khan@outlook.com,Click-and-Collect,19,125
daniel.patel@outlook.com,Click-and-Collect,3,140
ethan.young@gmail.com,In-Store,-3,127
grace.rossi@example.com,Click-and-Collect,39,110
maria.khan@outlook.com,In-Store,-91,125
maria.khan@outlook.com,Click-and-Collect,19,125
leo.taylor@gmail.com,In-Store,18,131
grace.rossi@example.com,In-Store,-60,110
ethan.young@gmail.com,In-Store,20,127
maria.khan@outlook.com,In-Store,-84,125
leo.taylor@gmail.com,Click-and-Collect,11,131
daniel.patel@outlook.com,Click-and-Collect,45,140
grace.rossi@example.com,Click-and-Collect,-58,110
maria.khan@outlook.com,Click-and-Collect,-20,125
ethan.young@gmail.com,In-Store,-24,127
maria.khan@outlook.com,Click-and-Collect,21,125
leo.taylor@gmail.com,Click-and-Collect,-1,131
ethan.young@gmail.com,Click-and-Collect,39,127
maria.khan@outlook.com,In-Store,-12,125
grace.rossi@example.com,In-Store,8,110
grace.rossi@example.com,In-Store,-18,110
daniel.patel@outlook.com,In-Store,-80,140
leo.taylor@gmail.com,In-Store,-37,131
daniel.patel@outlook.com,In-Store,-95,140
leo.taylor@gmail.com,In-Store,-25,131
grace.rossi@example.com,Click-and-Collect,42,110
ethan.young@gmail.com,Click-and-Collect,9,127
daniel.patel@outlook.com,Click-and-Collect,26,140
grace.rossi@example.com,In-Store,-37,110
grace.rossi@example.com,In-Store,10,110
leo.taylor@gmail.com,In-Store,11,131
daniel.patel@outlook.com,Click-and-Collect,-69,140
leo.taylor@gmail.com,Click-and-Collect,1,131
grace.rossi@example.com,In-Store,8,110
daniel.patel@outlook.com,In-Store,-41,140
leo.taylor@gmail.com,Click-and-Collect,8,131
grace.rossi@example.com,Click-and-Collect,15,110
grace.rossi@example.com,Click-and-Collect,-17,110
grace.rossi@example.com,Click-and-Collect,-68,110
maria.khan@outlook.com,Click-and-Collect,11,125
daniel.patel@outlook.com,Click-and-Collect,42,140
ethan.young@gmail.com,Click-and-Collect,8,127
grace.rossi@example.com,Click-and-Collect,8,110
grace.rossi@example.com,Click-and-Collect,43,110
maria.khan@outlook.com,Click-and-Collect,-5,125
grace.rossi@example.com,In-Store,-94,110
ethan.young@gmail.com,In-Store,0,127
daniel.patel@outlook.com,In-Store,-1,140
maria.khan@outlook.com,In-Store,34,125
daniel.patel@outlook.com,In-Store,37,140
leo.taylor@gmail.com,In-Store,28,131
ethan.young@gmail.com,In-Store,-1,127
daniel.patel@outlook.com,In-Store,-94,140
leo.taylor@gmail.com,In-Store,40,131
leo.taylor@gmail.com,In-Store,50,131
ethan.young@gmail.com,Click-and-Collect,-74,127
daniel.patel@outlook.com,In-Store,45,140
grace.rossi@example.com,In-Store,-26,110
leo.taylor@gmail.com,Click-and-Collect,-80,131
grace.rossi@example.com,In-Store,-11,110
leo.taylor@gmail.com,Click-and-Collect,15,131
daniel.patel@outlook.com,In-Store,-56,140
leo.taylor@gmail.com,In-Store,47,131
leo.taylor@gmail.com,In-Store,-89,131
maria.khan@outlook.com,In-Store,31,125
daniel.patel@outlook.com,In-Store,-95,140
leo.taylor@gmail.com,In-Store,29,131
maria.khan@outlook.com,Click-and-Collect,-54,125
grace.rossi@example.com,Click-and-Collect,-8,110
leo.taylor@gmail.com,In-Store,-54,131
maria.khan@outlook.com,Click-and-Collect,-13,125
ethan.young@gmail.com,In-Store,-14,127
leo.taylor@gmail.com,Click-and-Collect,-65,131
leo.taylor@gmail.com,Click-and-Collect,21,131
grace.rossi@example.com,In-Store,-8,110
grace.rossi@example.com,In-Store,-89,110
daniel.patel@outlook.com,Click-and-Collect,-1,140
