email,order_channel,vists
grace.rossi@example.com,Click-and-Collect,
daniel.patel@outlook.com,Click-and-Collect,
ethan.young@gmail.com,In-Store,
daniel.patel@outlook.com,In-Store,
ethan.young@gmail.com,In-Store,
maria.khan@outlook.com,Click-and-Collect,
leo.taylor@gmail.com,Click-and-Collect,
maria.khan@outlook.com,Click-and-Collect,
grace.rossi@example.com,In-Store,
leo.taylor@gmail.com,Click-and-Collect,
maria.khan@outlook.com,Click-and-Collect,
maria.khan@outlook.com,Click-and-Collect,
daniel.patel@outlook.com,Click-and-Collect,
ethan.young@gmail.com,In-Store,
grace.rossi@example.com,Click-and-Collect,
maria.khan@outlook.com,In-Store,
maria.khan@outlook.com,Click-and-Collect,
leo.taylor@gmail.com,In-Store,
grace.rossi@example.com,In-Store,
ethan.young@gmail.com,In-Store,
maria.khan@outlook.com,In-Store,
leo.taylor@gmail.com,Click-and-Collect,
daniel.patel@outlook.com,Click-and-Collect,
grace.rossi@example.com,Click-and-Collect,
maria.khan@outlook.com,Click-and-Collect,
ethan.young@gmail.com,In-Store,
maria.khan@outlook.com,Click-and-Collect,
leo.taylor@gmail.com,Click-and-Collect,
ethan.young@gmail.com,Click-and-Collect,
maria.khan@outlook.com,In-Store,
grace.rossi@example.com,In-Store,
grace.rossi@example.com,In-Store,
daniel.patel@outlook.com,In-Store,
leo.taylor@gmail.com,In-Store,
daniel.patel@outlook.com,In-Store,
leo.taylor@gmail.com,In-Store,
grace.rossi@example.com,Click-and-Collect,
ethan.young@gmail.com,Click-and-Collect,
daniel.patel@outlook.com,Click-and-Collect,
grace.rossi@example.com,In-Store,
grace.rossi@example.com,In-Store,
leo.taylor@gmail.com,In-Store,
daniel.patel@outlook.com,Click-and-Collect,
leo.taylor@gmail.com,Click-and-Collect,
grace.rossi@example.com,In-Store,
daniel.patel@outlook.com,In-Store,
leo.taylor@gmail.com,Click-and-Collect,
grace.rossi@example.com,Click-and-Collect,
grace.rossi@example.com,Click-and-Collect,
grace.rossi@example.com,Click-and-Collect,
maria.khan@outlook.com,Click-and-Collect,
daniel.patel@outlook.com,Click-and-Collect,
ethan.young@gmail.com,Click-and-Collect,
grace.rossi@example.com,Click-and-Collect,
grace.rossi@example.com,Click-and-Collect,
maria.khan@outlook.com,Click-and-Collect,
grace.rossi@example.com,In-Store,
ethan.young@gmail.com,In-Store,
daniel.patel@outlook.com,In-Store,
maria.khan@outlook.com,In-Store,
daniel.patel@outlook.com,In-Store,
leo.taylor@gmail.com,In-Store,
ethan.young@gmail.com,In-Store,
daniel.patel@outlook.com,In-Store,
leo.taylor@gmail.com,In-Store,
leo.taylor@gmail.com,In-Store,
ethan.young@gmail.com,Click-and-Collect,
daniel.patel@outlook.com,In-Store,
grace.rossi@example.com,In-Store,
leo.taylor@gmail.com,Click-and-Collect,
grace.rossi@example.com,In-Store,
leo.taylor@gmail.com,Click-and-Collect,
daniel.patel@outlook.com,In-Store,
leo.taylor@gmail.com,In-Store,
leo.taylor@gmail.com,In-Store,
maria.khan@outlook.com,In-Store,
daniel.patel@outlook.com,In-Store,
leo.taylor@gmail.com,In-Store,
maria.khan@outlook.com,Click-and-Collect,
grace.rossi@example.com,Click-and-Collect,
leo.taylor@gmail.com,In-Store,
maria.khan@outlook.com,Click-and-Collect,
ethan.young@gmail.com,In-Store,
leo.taylor@gmail.com,Click-and-Collect,
leo.taylor@gmail.com,Click-and-Collect,
grace.rossi@example.com,In-Store,
grace.rossi@example.com,In-Store,
daniel.patel@outlook.com,Click-and-Collect,
ethan.young@gmail.com,Click-and-Collect,
maria.khan@outlook.com,In-Store,
ethan.young@gmail.com,In-Store,
grace.rossi@example.com,In-Store,
leo.taylor@gmail.com,Click-and-Collect,
maria.khan@outlook.com,In-Store,
ethan.young@gmail.com,In-Store,
grace.rossi@example.com,Click-and-Collect,
daniel.patel@outlook.com,In-Store,
leo.taylor@gmail.com,Click-and-Collect,
leo.taylor@gmail.com,In-Store,
daniel.patel@outlook.com,Click-and-Collect,
leo.taylor@gmail.com,In-Store,
maria.khan@outlook.com,In-Store,
grace.rossi@example.com,In-Store,
ethan.young@gmail.com,Click-and-Collect,
daniel.patel@outlook.com,Click-and-Collect,
leo.taylor@gmail.com,Click-and-Collect,
ethan.young@gmail.com,Click-and-Collect,
grace.rossi@example.com,In-Store,
maria.khan@outlook.com,Click-and-Collect,
leo.taylor@gmail.com,In-Store,
maria.khan@outlook.com,Click-and-Collect,
leo.taylor@gmail.com,Click-and-Collect,
daniel.patel@outlook.com,In-Store,
daniel.patel@outlook.com,Click-and-Collect,
leo.taylor@gmail.com,In-Store,
ethan.young@gmail.com,In-Store,
ethan.young@gmail.com,In-Store,
leo.taylor@gmail.com,Click-and-Collect,
ethan.young@gmail.com,In-Store,
maria.khan@outlook.com,In-Store,
daniel.patel@outlook.com,In-Store,
ethan.young@gmail.com,Click-and-Collect,
grace.rossi@example.com,In-Store,
grace.rossi@example.com,Click-and-Collect,
leo.taylor@gmail.com,In-Store,
maria.khan@outlook.com,Click-and-Collect,
daniel.patel@outlook.com,Click-and-Collect,
leo.taylor@gmail.com,Click-and-Collect,
maria.khan@outlook.com,Click-and-Collect,
grace.rossi@example.com,Click-and-Collect,
ethan.young@gmail.com,In-Store,
leo.taylor@gmail.com,In-Store,
grace.rossi@example.com,In-Store,
ethan.young@gmail.com,Click-and-Collect,
leo.taylor@gmail.com,In-Store,
ethan.young@gmail.com,Click-and-Collect,
daniel.patel@outlook.com,In-Store,
daniel.patel@outlook.com,Click-and-Collect,
ethan.young@gmail.com,Click-and-Collect,
daniel.patel@outlook.com,In-Store,
daniel.patel@outlook.com,Click-and-Collect,
daniel.patel@outlook.com,In-Store,
leo.taylor@gmail.com,In-Store,
grace.rossi@example.com,In-Store,
grace.rossi@example.com,In-Store,
leo.taylor@gmail.com,Click-and-Collect,
ethan.young@gmail.com,In-Store,
daniel.patel@outlook.com,Click-and-Collect,
maria.khan@outlook.com,Click-and-Collect,
leo.taylor@gmail.com,In-Store,
leo.taylor@gmail.com,In-Store,
grace.rossi@example.com,In-Store,
grace.rossi@example.com,Click-and-Collect,
maria.khan@outlook.com,Click-and-Collect,
ethan.young@gmail.com,In-Store,
leo.taylor@gmail.com,Click-and-Collect,
grace.rossi@example.com,In-Store,
maria.khan@outlook.com,In-Store,
maria.khan@outlook.com,In-Store,
daniel.patel@outlook.com,In-Store,
daniel.patel@outlook.com,In-Store,
ethan.young@gmail.com,In-Store,
ethan.young@gmail.com,Click-and-Collect,
leo.taylor@gmail.com,Click-and-Collect,
daniel.patel@outlook.com,Click-and-Collect,
ethan.young@gmail.com,Click-and-Collect,
maria.khan@outlook.com,Click-and-Collect,
ethan.young@gmail.com,Click-and-Collect,
grace.rossi@example.com,Click-and-Collect,
ethan.young@gmail.com,Click-and-Collect,
ethan.young@gmail.com,In-Store,
leo.taylor@gmail.com,In-Store,
grace.rossi@example.com,Click-and-Collect,
daniel.patel@outlook.com,Click-and-Collect,
daniel.patel@outlook.com,Click-and-Collect,
maria.khan@outlook.com,Click-and-Collect,
leo.taylor@gmail.com,Click-and-Collect,
daniel.patel@outlook.com,In-Store,
daniel.patel@outlook.com,Click-and-Collect,
maria.khan@outlook.com,Click-and-Collect,
leo.taylor@gmail.com,Click-and-Collect,
daniel.patel@outlook.com,Click-and-Collect,
daniel.patel@outlook.com,In-Store,
ethan.young@gmail.com,Click-and-Collect,
ethan.young@gmail.com,In-Store,
leo.taylor@gmail.com,Click-and-Collect,
leo.taylor@gmail.com,Click-and-Collect,
leo.taylor@gmail.com,In-Store,
grace.rossi@example.com,Click-and-Collect,
daniel.patel@outlook.com,In-Store,
maria.khan@outlook.com,In-Store,
ethan.young@gmail.com,Click-and-Collect,
leo.taylor@gmail.com,Click-and-Collect,
maria.khan@outlook.com,Click-and-Collect,
ethan.young@gmail.com,In-Store,
leo.taylor@gmail.com,In-Store,
daniel.patel@outlook.com,In-Store,
grace.rossi@example.com,In-Store,
ethan.young@gmail.com,Click-and-Collect,
leo.taylor@gmail.com,Click-and-Collect,
maria.khan@outlook.com,In-Store,
daniel.patel@outlook.com,Click-and-Collect,
ethan.young@gmail.com,In-Store,
ethan.young@gmail.com,Click-and-Collect,
daniel.patel@outlook.com,In-Store,
maria.khan@outlook.com,Click-and-Collect,
maria.khan@outlook.com,In-Store,
daniel.patel@outlook.com,Click-and-Collect,
maria.khan@outlook.com,In-Store,
ethan.young@gmail.com,Click-and-Collect,
grace.rossi@example.com,In-Store,
grace.rossi@example.com,Click-and-Collect,
ethan.young@gmail.com,In-Store,
maria.khan@outlook.com,Click-and-Collect,
grace.rossi@example.com,Click-and-Collect,
daniel.patel@outlook.com,In-Store,
grace.rossi@example.com,In-Store,
grace.rossi@example.com,In-Store,
grace.rossi@example.com,In-Store,
maria.khan@outlook.com,In-Store,
maria.khan@outlook.com,In-Store,
maria.khan@outlook.com,In-Store,
grace.rossi@example.com,Click-and-Collect,
ethan.young@gmail.com,Click-and-Collect,
leo.taylor@gmail.com,Click-and-Collect,
ethan.young@gmail.com,Click-and-Collect,
leo.taylor@gmail.com,In-Store,
leo.taylor@gmail.com,In-Store,
leo.taylor@gmail.com,In-Store,
maria.khan@outlook.com,Click-and-Collect,
daniel.patel@outlook.com,Click-and-Collect,
maria.khan@outlook.com,In-Store,
ethan.young@gmail.com,Click-and-Collect,
daniel.patel@outlook.com,Click-and-Collect,
ethan.young@gmail.com,Click-and-Collect,
daniel.patel@outlook.com,In-Store,
maria.khan@outlook.com,Click-and-Collect,
ethan.young@gmail.com,In-Store,
ethan.young@gmail.com,Click-and-Collect,
leo.taylor@gmail.com,In-Store,
daniel.patel@outlook.com,Click-and-Collect,
maria.khan@outlook.com,In-Store,
maria.khan@outlook.com,Click-and-Collect,
daniel.patel@outlook.com,In-Store,
grace.rossi@example.com,Click-and-Collect,
leo.taylor@gmail.com,Click-and-Collect,
leo.taylor@gmail.com,In-Store,
grace.rossi@example.com,In-Store,
leo.taylor@gmail.com,In-Store,
